OBJECTID,N_SQ_QU,C_QU,C_QUINSEE,L_QU,C_AR,N_SQ_AR,SHAPE_Length,SHAPE_Area
1,750000001,1,7510101,St-Germain-l'Auxerrois,1,750000001,5057.33281,869000.701458
2,750000002,2,7510102,Halles,1,750000001,2606.304938,412458.505604
3,750000003,3,7510103,Palais-Royal,1,750000001,2166.750173,273696.774967
4,750000004,4,7510104,Place-Vendôme,1,750000001,2147.734368,269456.78035
5,750000005,5,7510201,Gaillon,2,750000002,1866.91355,188012.21034
6,750000006,6,7510202,Vivienne,2,750000002,2058.394019,243550.785407
7,750000007,7,7510203,Mail,2,750000002,2179.068235,278142.592255
8,750000008,8,7510204,Bonne-Nouvelle,2,750000002,2233.88639,281448.230726
9,750000009,9,7510301,Arts-et-Metiers,3,750000003,2482.360804,318087.756151
10,750000010,10,7510302,Enfants-Rouges,3,750000003,2139.53557,271750.361845
11,750000011,11,7510303,Archives,3,750000003,2533.985795,367728.383077
12,750000012,12,7510304,Saint-Avoye,3,750000003,1861.724947,213316.363341
13,750000013,13,7510401,Saint-Merri,4,750000004,2345.892705,313040.396333
14,750000014,14,7510402,Saint-Gervais,4,750000004,2678.208013,422028.167767
15,750000015,15,7510403,Arsenal,4,750000004,2878.401463,487264.920842
16,750000016,16,7510404,Notre-Dame,4,750000004,3282.999706,378252.119681
17,750000017,17,7510501,Saint-Victor,5,750000005,3087.040885,604156.10623
18,750000018,18,7510502,Jardin-des-Plantes,5,750000005,4052.473241,798389.392332
19,750000019,19,7510503,Val-de-Grace,5,750000005,3485.614476,703631.197748
20,750000020,20,7510504,Sorbonne,5,750000005,2892.781241,433197.78704
21,750000021,21,7510601,Monnaie,6,750000006,2391.003081,293360.550541
22,750000022,22,7510602,Odeon,6,750000006,3516.110554,716148.308487
23,750000023,23,7510603,Notre-Dame-des-Champs,6,750000006,4559.726831,861307.080279
24,750000024,24,7510604,Saint-Germain-des-Prés,6,750000006,2565.767768,282279.951705
25,750000025,25,7510701,Saint-Thomas-d'Aquin,7,750000007,3827.053382,826559.434047
26,750000026,26,7510702,Invalides,7,750000007,4434.443345,1073733.73982
27,750000027,27,7510703,Ecole-Militaire,7,750000007,3887.493658,807870.781614
28,750000028,28,7510704,Gros-Caillou,7,750000007,4720.770765,1381893.236954
29,750000029,29,7510801,Champs-Elysées,8,750000008,5480.448996,1140254.022825
30,750000030,30,7510802,Faubourg-du-Roule,8,750000008,3773.554627,796589.072599
31,750000031,31,7510803,Madeleine,8,750000008,3791.375868,760726.564372
32,750000032,32,7510804,Europe,8,750000008,4803.104133,1182466.944389
33,750000033,33,7510901,Saint-Georges,9,750000009,3429.092999,717091.559919
34,750000034,34,7510902,Chaussée-d'Antin,9,750000009,3133.472123,543441.169367
