idZone,nameZone,idQuartier,piece,epoque,type,annee,ref,refmin,refmaj
1,Notre-Dame-des-Champs,23,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
1,Saint-Thomas-d'Aquin,25,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
1,Invalides,26,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
1,Ecole-Militaire,27,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
1,Gros-Caillou,28,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
2,St-Germain-l'Auxerrois,1,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Palais-Royal,3,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Place-Vendôme,4,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Gaillon,5,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Saint-Merri,13,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Arsenal,15,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Notre-Dame,16,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Monnaie,21,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Odeon,22,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Saint-Germain-des-Près,24,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Champs-Elysés,29,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Faubourg-du-Roule,30,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Madeleine,31,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Chaussée d'Antin,34,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
3,Europe,32,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
3,Muette,62,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
3,Porte-Dauphine,63,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
3,Chaillot,64,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
4,Vivienne,6,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Mail,7,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Bonne-Nouvelle,8,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Arts-et-Metiers,9,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Enfants-Rouges,10,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
