area,median_year
1,1810
2,1850
3,1830
4,1800
5,1880
6,1870
7,1890
8,1885
9,1880
10,1880
11,1894
12,1907
13,1923
14,1900
15,1912
16,1907
17,1900
18,1900
19,1928
20,1914
